	1016-Treubia_lacunosa	1017-Porella_caespitans_var_nipponica	1025-Porella_chinensis	1026-Bazzania_tridens	225-Ptilidium_ciliare	231-Lunularia_cruciata	302-Haplomitrium_mnioides	343-Odontoschisma_sphagni	349-Blasia_pusilla	359-Scapania_nepalensis	368-Metzgeria_furcata	369-Plagiochila_semidecurrens	604-Gackstroemia_magellanica	620-Vetaforma_dusenii	621-Plagiochila_sp	623-Mesoptychia_sp	625-Noteroclada_confluens	626-Acrobolbus_urvilleanus	630-Porella_platyphylla	653-Riccia_cavernosa	664-Conocephalum_conicum	888-Acrolejeunea_sandvicensis	889-Fossombronia_cristula	890-Blasia_pusilla	891-Pleurozia_purpurea	905-Metzgeria_hamata	906-Herbertus_kurzii	908-Cyathodium_cavernarum	909-Ricciocarpos_natans	912-Pallavicinia_ambigua	952-Plagiochasma_appendiculatum	955-Jungermannia_erectum	957-Frullania_moniliata	961-Lepidozia_reptans	963-Plicanthus_hirtellus	965-Tetralophozia_filiformis	966-Tritomaria_exsectiformis	M158-Sphaerocarpos_donnellii	MAPA-Marchantia_paleacea	MpMON-Marchantia_polymorpha_montivagans	MpPOL-Marchantia_polymorpha_polymorpha	MpTAKv6-Marchantia_polymorpha_rudelaris
'0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1	4510	5489	6359	6260	5469	5557	4243	5792	6770	6636	6154	5488	6030	5999	5659	6763	5315	6909	6153	4448	5631	5254	5214	6714	5478	5945	5140	5280	5579	5256	5611	5273	5615	5931	7031	6832	6252	5295	8385	10685	9910	8542
'2	2010	2232	3638	2924	2530	1382	2252	2446	1268	4008	3536	3202	3048	3696	2738	3980	6040	3698	2148	7346	1112	1988	3390	1264	3832	2494	6006	1914	2518	2768	1770	1702	2520	2554	3292	2696	2878	2722	2002	2768	2982	4692
'3	885	1062	2139	1383	1140	654	1011	1080	414	2220	1896	1515	1311	1674	1029	1863	2979	1902	990	2685	390	927	1878	507	2484	1320	2754	1053	1242	1452	702	723	1179	1251	1575	1389	1794	1245	852	984	1071	2148
'4	608	652	1416	688	620	444	824	608	168	1572	1172	900	596	1040	608	1100	1696	1144	708	1768	256	592	1292	212	1740	900	1952	696	580	872	464	516	560	592	1044	752	1188	860	468	616	524	1376
'5	425	420	1265	500	270	235	545	415	120	1280	835	725	325	765	475	725	1210	935	460	985	150	345	830	190	1295	685	1280	520	450	630	345	395	420	440	700	515	840	600	275	385	375	770
'6	366	234	954	378	270	270	546	342	66	780	480	444	156	462	372	624	948	792	330	846	114	288	768	108	1092	450	960	498	354	534	282	390	276	240	522	354	510	444	180	294	288	582
'7	210	231	931	287	217	168	399	217	35	812	392	511	84	413	210	392	826	567	224	553	91	210	532	77	861	399	644	371	273	308	203	308	182	210	308	245	483	399	224	224	259	413
'8	256	184	712	168	136	144	368	144	48	648	288	360	96	312	176	328	664	448	168	376	48	224	488	64	792	424	632	344	160	304	120	224	88	160	280	224	344	376	200	208	144	352
'9	225	108	540	153	99	135	306	171	27	666	198	333	81	207	135	243	513	369	234	414	36	144	468	45	720	342	540	261	117	225	153	225	108	72	234	189	333	288	153	135	135	234
